Employee_ID,Age,Gender,Marital_Status,Education_Level,Job_Role,Department,Years_with_Company,Current_Salary,Job_Satisfaction_Score,Performance_Rating,Promotion_History,Training_History,Exit_Reason,Work_Life_Balance_Score,Previous_Experience_Years,Status,Date_of_Joining,Date_of_Leaving,Resignation Status
EMP_1,50,Male,Single,Master's,Manager,Management,5,82672,1,2,1,Completed,None,5,6,Active,4/26/2004,,N
EMP_2,27,Male,Single,High School,Finance,Finance,8,99592,2,2,1,Not Completed,Voluntary,4,2,Active,1/20/2004,,N
EMP_3,37,Other,Single,Doctorate,IT Support,Management,9,108391,3,2,2,Completed,Voluntary,1,6,Terminated,2/15/2012,3/7/2013,Y
EMP_4,55,Female,Divorced,Master's,HR,IT,17,86849,4,3,2,Not Completed,Voluntary,4,7,Terminated,1/16/2002,3/24/2009,Y
EMP_5,58,Female,Married,Master's,Engineer,IT,5,92313,4,4,0,Not Completed,Voluntary,1,4,Active,8/1/2013,,N
EMP_6,32,Male,Married,High School,Manager,IT,19,53488,2,2,0,Completed,Voluntary,2,4,Active,6/14/2008,,N
EMP_7,32,Other,Single,Master's,IT Support,HR,19,111308,2,3,0,Not Completed,None,2,13,Active,12/23/2012,,N
EMP_8,46,Male,Divorced,High School,Finance,IT,2,118652,4,2,0,Completed,None,4,3,Active,6/3/2015,,N
EMP_9,40,Female,Single,High School,Manager,Finance,19,97192,3,4,2,Completed,None,3,2,Active,11/9/2018,,N
EMP_10,53,Female,Married,High School,Finance,Sales,15,101449,3,2,2,Completed,Involuntary,1,11,Resigned,5/29/2000,4/26/2008,Y
EMP_11,29,Other,Divorced,Master's,Sales,Management,8,95387,1,4,0,Not Completed,Voluntary,5,7,Resigned,7/29/2019,11/5/2021,Y
EMP_12,33,Male,Divorced,Master's,IT Support,Management,8,103509,2,3,2,Completed,None,3,10,Resigned,10/2/2015,1/23/2025,Y
EMP_13,56,Other,Married,Bachelor's,IT Support,Sales,1,46975,2,3,2,Not Completed,Voluntary,2,5,Active,8/1/2010,,N
EMP_14,27,Male,Divorced,High School,Finance,Finance,14,72392,2,2,0,Completed,None,1,13,Resigned,5/29/2013,11/16/2014,Y
EMP_15,42,Other,Divorced,High School,Sales,HR,11,43305,4,1,1,Not Completed,None,3,5,Resigned,8/17/2013,1/29/2022,Y
EMP_16,47,Female,Single,High School,HR,Engineering,7,106215,4,4,1,Not Completed,None,5,1,Active,1/30/2019,,N
EMP_17,22,Other,Divorced,High School,Engineer,Finance,18,51961,4,2,0,Not Completed,Voluntary,3,3,Active,8/7/2014,,N
EMP_18,38,Female,Single,High School,Sales,IT,15,30228,3,3,1,Not Completed,Involuntary,5,14,Active,11/21/2017,,N
EMP_19,56,Female,Divorced,High School,Manager,Finance,10,111179,4,2,2,Completed,Voluntary,2,4,Active,5/17/2006,,N
EMP_20,48,Male,Single,High School,Finance,Management,4,113544,1,4,1,Completed,None,1,10,Terminated,8/2/2004,10/7/2007,Y
EMP_21,23,Other,Single,Bachelor's,IT Support,Management,1,53474,4,2,0,Completed,None,2,9,Active,11/8/2015,,N
EMP_22,57,Other,Divorced,Bachelor's,Manager,HR,14,33979,3,4,0,Completed,None,1,4,Terminated,1/30/2007,4/19/2012,Y
EMP_23,22,Other,Single,Doctorate,IT Support,IT,9,76343,2,3,1,Not Completed,Voluntary,3,2,Active,7/17/2006,,N
EMP_24,31,Other,Married,High School,Sales,HR,13,30739,1,1,1,Completed,None,2,9,Resigned,11/4/2001,7/5/2003,Y
EMP_25,52,Male,Married,High School,IT Support,HR,17,49558,3,1,2,Not Completed,None,1,4,Resigned,2/18/2010,4/13/2012,Y
EMP_26,58,Male,Divorced,Bachelor's,IT Support,Sales,4,67817,5,3,1,Not Completed,Voluntary,5,4,Active,9/22/2003,,N
EMP_27,26,Male,Divorced,Bachelor's,IT Support,Engineering,5,81799,2,3,1,Completed,Involuntary,1,1,Terminated,5/24/2008,1/14/2016,Y
EMP_28,34,Female,Divorced,High School,IT Support,Engineering,18,68154,4,2,1,Completed,None,2,4,Active,8/12/2008,,N
EMP_29,45,Female,Married,High School,Manager,IT,17,62272,3,3,2,Completed,Involuntary,2,2,Active,1/27/2017,,N
EMP_30,48,Female,Divorced,Bachelor's,Finance,HR,7,67339,5,3,1,Completed,Voluntary,3,14,Active,11/26/2009,,N
EMP_31,22,Male,Divorced,Bachelor's,Engineer,Management,10,109796,3,4,2,Completed,Voluntary,5,2,Active,5/25/2008,,N
EMP_32,41,Female,Single,Doctorate,Manager,Engineering,9,36594,4,2,2,Not Completed,None,1,4,Terminated,12/2/2005,11/7/2007,Y
EMP_33,29,Other,Divorced,Doctorate,HR,Finance,13,43185,3,4,0,Completed,Voluntary,2,8,Active,12/15/2003,,N
EMP_34,24,Female,Married,High School,Finance,Sales,18,42572,5,2,0,Completed,Voluntary,1,13,Active,1/8/2011,,N
EMP_35,53,Male,Married,Bachelor's,Finance,Management,12,47569,3,2,2,Completed,None,4,1,Resigned,11/30/2005,2/17/2015,Y
EMP_36,46,Male,Divorced,Doctorate,HR,Sales,8,112509,1,1,2,Not Completed,None,5,8,Active,1/9/2015,,N
